byr,race,year,type,interval,nj,nj0,p_xl,p_l,earnings,iweight,iweight_old,nsrvd,ps_r,ern74,ern75,ern76,ern77,ern78,ern79,ern80,ern81,ern82,ern83,ern84
50,1,74,ADJ,1,8626,1352.420993804932,.034807213,.023858268,8853.9404,.00024618054,.00017538373,,.3527,1,.77135831,.69483513,.5680154,.47650367,.40712124,.34270778,.472947,.35488653,.38729551,.40879324
50,1,75,ADJ,1,8615,1557.796005249023,.056729976,.026817419,9062.6396,.00019286758,.00013937092,,.3527,.77135831,1,.80331779,.71135074,.64306563,.53959018,.53392202,.57763851,.40669954,.39848506,.40810561
50,1,76,ADJ,1,8606,1603.023988723755,.080074959,.030405074,10096.056,.00016533211,.00011689847,,.3527,.69483513,.80331779,1,.81918144,.64981115,.61018765,.57566899,.61715877,.43717015,.44455999,.42339289
50,1,77,ADJ,1,8592,1588.515991210938,.11001267,.038435299,10916.072,.00015390507,.0001066961,,.3527,.5680154,.71135074,.81918144,1,.73078823,.66164881,.64452153,.68931752,.55216336,.56685126,.48847538
50,1,78,ADJ,1,8574,1608.004999160767,.14242531,.045427106,11738.444,.00013230019,.000092200811,,.3527,.47650367,.64306563,.64981115,.73078823,1,.8108601,.69024533,.70468205,.48916522,.50355726,.42948821
50,1,79,ADJ,1,8564,1604.612995147705,.094944425,.029398136,12266.645,.00012418628,.000084903062,,.3527,.40712124,.53959018,.61018765,.66164881,.8108601,1,.81615031,.73510188,.55731541,.53378898,.48561585
50,1,80,ADJ,2,7337,1454.788990020752,.099682078,.023973808,12227.259,.00010473302,.000070474751,,.19329999,.34270778,.53392202,.57566899,.64452153,.69024533,.81615031,1,.81148255,.78974766,.7015174,.6241101
50,1,81,ADJ,2,7327,1488.580993652344,.09642268,.020412203,12468.114,.00009189421,.000062997671,,.19329999,.472947,.57763851,.61715877,.68931752,.70468205,.73510188,.81148255,1,.72864467,.63436896,.66685414
50,1,82,ADJ,2,7318,1581.193004608154,.10071456,.019789755,12772.994,.000070932285,.000051157022,,.19329999,.35488653,.40669954,.43717015,.55216336,.48916522,.55731541,.78974766,.72864467,1,.80891335,.71032542
50,1,83,ADJ,1,8521,1949.139980316162,.087916359,.01656213,12912.596,.000080529549,.000056576278,,.3527,.38729551,.39848506,.44455999,.56685126,.50355726,.53378898,.7015174,.63436896,.80891335,1,.79067647
50,1,84,ADJ,1,8508,2049.25899887085,.095780589,.022723004,13405.694,.000071392897,.000049855891,,.3527,.40879324,.40810561,.42339289,.48847538,.42948821,.48561585,.6241101,.66685414,.71032542,.79067647,1
50,2,74,ADJ,2,2554,835.9650058746338,.030128025,.01046719,7715.8423,.000066706089,.000038173472,,.1354,1,.673253,.60278499,.50000381,.43186221,.41873747,.3922033,.21696199,.23842622,.25658998,.40580103
50,2,75,ADJ,2,2549,895.7800035476685,.037445713,.012659537,7840.3071,.000061207102,.000034301262,,.1354,.673253,1,.65962386,.56268966,.52154839,.45359465,.37155688,.24856623,.30334753,.23542917,.39237165
50,2,76,ADJ,1,2848,985.7839889526367,.058607593,.017674642,8633.2568,.000024687175,.000018773559,,.1957,.60278499,.65962386,1,.61876893,.57493812,.47353154,.39000618,.3132073,.35009411,.23508947,.2806074
50,2,77,ADJ,1,2846,953.1150054931641,.081353068,.024912765,9428.7383,.00002774094,.000019841142,,.1957,.50000381,.56268966,.61876893,1,.73461217,.54817635,.45703062,.44410163,.44215932,.41227013,.41386393
50,2,78,ADJ,1,2841,968.0329971313477,.11217496,.026628872,10234.848,.000028040417,.000019008852,,.1957,.43186221,.52154839,.57493812,.73461217,1,.75836664,.64389741,.60782951,.57428771,.45245969,.51625097
50,2,79,ADJ,2,2521,824.7239999771118,.063744932,.015202715,10301.652,.000026722782,.000017754255,,.1354,.41873747,.45359465,.47353154,.54817635,.75836664,1,.8004114,.69916719,.62960362,.45688233,.52068472
50,2,80,ADJ,2,2517,843.7940006256104,.069468431,.017252509,10110.317,.000025759116,.000017365024,,.1354,.3922033,.37155688,.39000618,.45703062,.64389741,.8004114,1,.77941877,.64189428,.56609386,.58425319
50,2,81,ADJ,2,2511,829.0670022964478,.063586958,.015468511,10227.325,.000023770972,.000016382706,,.1354,.21696199,.24856623,.3132073,.44410163,.60782951,.69916719,.77941877,1,.78387898,.60926783,.59326988
50,2,82,ADJ,1,2820,1002.071999549866,.07265579,.016993523,10740.545,.000024293533,.000016234801,,.1957,.23842622,.30334753,.35009411,.44215932,.57428771,.62960362,.64189428,.78387898,1,.732557,.68060374
50,2,83,ADJ,2,2501,908.1850032806397,.0646905,.01437769,10896.703,.000023458046,.000014650812,,.1354,.25658998,.23542917,.23508947,.41227013,.45245969,.45688233,.56609386,.60926783,.732557,1,.77462602
50,2,84,ADJ,1,2810,1002.028001785278,.079785526,.012570991,11253.325,.000022671573,.000014743979,,.1957,.40580103,.39237165,.2806074,.41386393,.51625097,.52068472,.58425319,.59326988,.68060374,.77462602,1
50,1,74,TAXAB,1,8626,1352.420993804932,.034807213,.023858268,8721.8418,.00028027367,.00019202464,,.3527,1,.72769082,.65003645,.51582122,.42841455,.4010658,.32306165,.427432,.29361221,.37992987,.42099822
50,1,75,TAXAB,2,7381,1379.347003936768,.071227379,.023943905,9171.125,.00021844928,.00013895248,,.19329999,.72769082,1,.75841248,.65620166,.59256101,.54410386,.51783752,.56318611,.37173578,.41993237,.45449075
50,1,76,TAXAB,1,8606,1603.023988723755,.080074959,.030405074,9706.4941,.00023309569,.0001471436,,.3527,.65003645,.75841248,1,.78949249,.58999503,.61054808,.56437212,.6076566,.42430848,.45246211,.43354487
50,1,77,TAXAB,2,7359,1324.571992874146,.12329404,.035733461,10718.373,.00018972957,.00011497718,,.19329999,.51582122,.65620166,.78949249,1,.70132399,.64108855,.60169947,.63522047,.48998055,.50773853,.48187214
50,1,78,TAXAB,2,7348,1348.895992279053,.15930246,.049124334,11255.358,.00017443363,.00010406526,,.19329999,.42841455,.59256101,.58999503,.70132399,1,.7985844,.63555485,.6622538,.43382579,.48054323,.44016081
50,1,79,TAXAB,2,7339,1367.982006072998,.099795878,.031479053,12000.537,.00014529373,.000087886583,,.19329999,.4010658,.54410386,.61054808,.64108855,.7985844,1,.79469192,.69316614,.50655472,.5003463,.50212848
