u_brthyr,age_5,sc1714,ws1_2012,ws1_2032,ws1_2034,ws1_2036,ws1_2038,ws1cal01,ws1cal02,ws1cal03,ws1cal04,ws1imp04,ws2cal01,ws2cal02,ws2cal03,ws2cal04,ws2imp04,ws1_2024,vetstat,ws1_2028,ws1impo5,ws2impo5,ws1_wks4,ws1_wks3,ws1_wks2,ws1_wks1,fnlwgt_5,u_brthmn,rsncode,ws1_2026,agric1,trans1,trade1,finins1,service1,public1,profes1,manage1,cleric1,labor1,other1,educ,nrace,nmar,health,srvperd,nvstat,kwage,mhrs4,w4,mhrs3,w3,mhrs2,w2,mhrs1,w1,agesq,edsq,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1947,36,1,1,1075,860,1075,860,,,,,,,,,,,42,2,5.0500002,,,4,5,4,5,42521850,8,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,,0,5.0500002,168,6.3988094,210,4.0952382,168,6.3988094,210,4.0952382,1296,64,0,0,0,0,0,0,0,1,0,0,0,0
1954,29,1,1,1300,1360,1300,1040,,,,,,,,,,,40,2,6.5,,,4,5,4,5,40123011,1,999,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,0,6.5,160,8.125,200,6.8000002,160,8.125,200,5.1999998,841,144,1,0,0,0,0,0,0,0,0,0,0,0
1951,32,1,1,5000,6500,4000,1000,,,,,,,,,,,45,2,,,,4,5,4,5,42271558,9,0,2,0,0,0,0,1,0,1,0,0,0,0,18,0,0,0,,0,27.777779,180,27.777779,225,28.888889,180,22.222221,225,4.4444447,1024,324,0,0,0,0,0,0,0,0,1,0,0,0
1953,30,1,2,2414,1931,1931,1931,,,,,,,,,,,45,1,10.73,,,4,5,4,5,73927797,8,0,1,0,1,0,0,0,0,0,0,1,0,0,14,1,1,0,1,1,10.73,180,13.411111,225,8.582222,180,10.727777,225,8.582222,900,196,0,0,0,0,0,0,0,1,0,0,0,0
1951,32,1,1,,,,1700,,,,,,,,,,,40,2,,,,4,5,4,5,42615699,7,0,2,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,,0,8.5,160,,200,,160,,200,8.5,1024,256,0,0,0,0,0,0,1,0,0,0,0,0
1943,40,1,1,3528,4410,3528,4410,1,1,1,1,,,,,,,45,2,,,,4,5,4,5,39870633,4,999,2,0,0,0,0,1,0,1,0,0,0,0,16,0,0,0,,0,19.6,180,19.6,225,19.6,180,19.6,225,19.6,1600,256,0,0,0,1,0,0,0,0,0,0,0,0
1948,35,1,1,2362,1506,1506,1506,,,,,,,,,,,40,1,8.3500004,,,4,5,4,5,42457008,2,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,1,1,8.3500004,160,14.7625,200,7.5300002,160,9.4125004,200,7.5300002,1225,64,0,1,0,0,0,0,0,0,0,0,0,0
1951,32,1,1,2750,2200,2750,2200,,,,,,,,,,,45,2,,,,4,5,4,5,41337959,4,0,2,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,,0,15.277778,180,15.277778,225,9.7777777,180,15.277778,225,9.7777777,1024,144,0,0,0,1,0,0,0,0,0,0,0,0
1947,36,1,3,2368,,,,1,,,,,,,,,,40,2,,,,4,3,,,41267401,2,1,2,0,0,0,0,1,0,1,0,0,0,0,18,0,0,0,,0,14.8,160,14.8,120,,,,,,1296,324,0,1,0,0,0,0,0,0,0,0,0,0
1953,30,1,1,750,600,750,600,,,,,,,,,,,40,2,3.5999999,,,4,5,4,5,47266755,9,0,1,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,,0,3.5999999,160,4.6875,200,3,160,4.6875,200,3,900,81,0,0,0,0,0,0,0,0,1,0,0,0
